GL Account,Accounting document,Document type,Accounting date,Posting date,Document date,Amount in local currency,Currency code,Text Header,Text Details,User UD
11401000,2500007294,RV,03-Nov-25,03-Nov-25,03-Nov-25,1339512.0,INR,Invoice Posting,Normal sales batch,SATPUTD
11202200,2500007294,RV,03-Nov-25,03-Nov-25,03-Nov-25,-1135180.0,INR,Invoice Posting,Normal sales batch,SATPUTD
21302630,2500007294,RV,03-Nov-25,03-Nov-25,03-Nov-25,-204332.0,INR,Invoice Posting,Normal sales batch,SATPUTD
11401000,2500007295,RV,03-Nov-25,03-Nov-25,03-Nov-25,798689.0,INR,Invoice Posting,Standard billing,SATPUTD
11202200,2500007295,RV,03-Nov-25,03-Nov-25,03-Nov-25,-676855.0,INR,Invoice Posting,Standard billing,SATPUTD
21302630,2500007295,RV,03-Nov-25,03-Nov-25,03-Nov-25,-121834.0,INR,Invoice Posting,Standard billing,SATPUTD
41001400,2000001001,AB,31-Dec-25,31-Dec-25,31-Dec-25,500000.0,INR,Auditor adjustment,Adjustment entry to revenue,SBPATIL
3500001,2000001001,AB,31-Dec-25,31-Dec-25,31-Dec-25,-500000.0,INR,Auditor adjustment,Adjustment entry to trade payables,SBPATIL
1009,2000001002,SA,05-Nov-25,05-Nov-25,05-Nov-25,1000000.0,INR,Fund Transfer,Unusual zero balance clearing,OCPL-PRASHAN
52002500,2000001002,SA,05-Nov-25,05-Nov-25,05-Nov-25,-1000000.0,INR,Fund Transfer,Consultancy charge,OCPL-PRASHAN
