G_L,DocumentNo,Type,Entry_Date,Pstng_Date,Doc_Date,Amount_in_local_cur,Lcurr,Amount_in_doc_curr,Curr,Amount_in_loc_curr_2,LCur2,Document_Header_Text,Text,User_name,Debit_Credit,DocSum,BalanceStatus,Combo,Control_Sample,FS_Line_Item
11401000,2500007294,RV,03-Nov-25,03-Nov-25,03-Nov-25,0.0,INR,0.0,INR,1339512.0,,Invoice Posting,normal sales batch,SATPUTD,,0.0,BALANCED,11401000_0,Sample_Selected,
11202200,2500007294,RV,03-Nov-25,03-Nov-25,03-Nov-25,0.0,INR,0.0,INR,-1135180.0,,Invoice Posting,normal sales batch,SATPUTD,,0.0,BALANCED,11202200_0,Sample_Selected,
21302630,2500007294,RV,03-Nov-25,03-Nov-25,03-Nov-25,0.0,INR,0.0,INR,-204332.0,,Invoice Posting,normal sales batch,SATPUTD,,0.0,BALANCED,21302630_0,Sample_Selected,
11401000,2500007295,RV,03-Nov-25,03-Nov-25,03-Nov-25,0.0,INR,0.0,INR,798689.0,,Invoice Posting,standard billing,SATPUTD,,0.0,BALANCED,11401000_0,Sample_Selected,
11202200,2500007295,RV,03-Nov-25,03-Nov-25,03-Nov-25,0.0,INR,0.0,INR,-676855.0,,Invoice Posting,standard billing,SATPUTD,,0.0,BALANCED,11202200_0,Sample_Selected,
21302630,2500007295,RV,03-Nov-25,03-Nov-25,03-Nov-25,0.0,INR,0.0,INR,-121834.0,,Invoice Posting,standard billing,SATPUTD,,0.0,BALANCED,21302630_0,Sample_Selected,
41001400,2000001001,AB,31-Dec-25,31-Dec-25,31-Dec-25,0.0,INR,0.0,INR,500000.0,,Auditor adjustment,adjustment entry to revenue,SBPATIL,,0.0,BALANCED,41001400_0,Sample_Selected,
3500001,2000001001,AB,31-Dec-25,31-Dec-25,31-Dec-25,0.0,INR,0.0,INR,-500000.0,,Auditor adjustment,adjustment entry to trade payables,SBPATIL,,0.0,BALANCED,3500001_0,Sample_Selected,
1009,2000001002,SA,05-Nov-25,05-Nov-25,05-Nov-25,0.0,INR,0.0,INR,1000000.0,,Fund Transfer,unusual zero balance clearing,OCPL-PRASHAN,,0.0,BALANCED,1009_0,Sample_Selected,
52002500,2000001002,SA,05-Nov-25,05-Nov-25,05-Nov-25,0.0,INR,0.0,INR,-1000000.0,,Fund Transfer,consultancy charge,OCPL-PRASHAN,,0.0,BALANCED,52002500_0,Sample_Selected,
