G/L,Description,Account Subtype,FS Line Item,Opening Balance,Debit,Credit,Closing Balance
1009,ZeroBal Fund Trf,Assets,Control Account,0.0,0.0,0.0,0.0
1012,Zero Bal Others,Assets,Control Account,0.0,160413148.0,160413148.0,0.0
1000001,Eq.Sh.Cap-Rs.10,Liabilities,Share Capital,-1172000000.0,0.0,0.0,-1172000000.0
1081001,Preference Share Cap,Liabilities,Preference Share Capital,0.0,0.0,0.0,0.0
1130001,Share Premium - Equi,Liabilities,Securities Premium,0.0,0.0,0.0,0.0
1160001,Profit And Loss A/c,Liabilities,Retained Earnings,-32516305.0,0.0,0.0,-32516305.0
11401000,Trade Receivables Dom,Assets,Trade Receivables,15000000.0,2138201.0,0.0,17138201.0
11202200,Cost of Sales Material,Expenses,COST OF SALES AND SERVICES,0.0,0.0,1812035.0,-1812035.0
21302630,Output GST Clearing,Liabilities,Other Payables,0.0,0.0,326166.0,-326166.0
41001400,Sales - Domestic,Revenue,NET SALES REVENUE,-4295306840.0,500000.0,1049132300.0,-5343939140.0
51001000,Plant & Machinery,Assets,"Property, plant and equipment",5484823145.0,0.0,0.0,5484823145.0
3500001,Trade Payables - Dom,Liabilities,Trade Payables,-3164019.0,55410257.0,103457461.0,-51211223.0
52002500,Consultancy & Audit Fee,Expenses,General and administrative expenses,2500000.0,3500000.0,0.0,6000000.0
