G_L,Description,Opening_Balance,Debit,Credit,Closing_Balance,Movement,Account_Subtype,FS_Line_Item
1009,ZeroBal Fund Trf,0.0,0.0,0.0,0.0,0.0,Assets,Control Account
1012,Zero Bal Others,0.0,160413148.0,160413148.0,0.0,0.0,Assets,Control Account
1000001,Eq.Sh.Cap-Rs.10,-1172000000.0,0.0,0.0,-1172000000.0,0.0,Liabilities,Share Capital
1081001,Preference Share Cap,0.0,0.0,0.0,0.0,0.0,Liabilities,Preference Share Capital
1130001,Share Premium - Equi,0.0,0.0,0.0,0.0,0.0,Liabilities,Securities Premium
1160001,Profit And Loss A/c,-32516305.0,0.0,0.0,-32516305.0,0.0,Liabilities,Retained Earnings
11401000,Trade Receivables Dom,15000000.0,2138201.0,0.0,17138201.0,2138201.0,Assets,Trade Receivables
11202200,Cost of Sales Material,0.0,0.0,1812035.0,-1812035.0,-1812035.0,Expenses,COST OF SALES AND SERVICES
21302630,Output GST Clearing,0.0,0.0,326166.0,-326166.0,-326166.0,Liabilities,Other Payables
41001400,Sales - Domestic,-4295306840.0,500000.0,1049132300.0,-5343939140.0,-1048632300.0,Revenue,NET SALES REVENUE
51001000,Plant & Machinery,5484823145.0,0.0,0.0,5484823145.0,0.0,Assets,"Property, plant and equipment"
3500001,Trade Payables - Dom,-3164019.0,55410257.0,103457461.0,-51211223.0,-48047204.0,Liabilities,Trade Payables
52002500,Consultancy & Audit Fee,2500000.0,3500000.0,0.0,6000000.0,3500000.0,Expenses,General and administrative expenses
