chart_of_accounts,account_number,account_description,financial_statement_category,financial_statement_line,account_grouping_1,financial_statement_type,entity_id,revision_date
JIOSAT,10100000,Cash and Bank - Current Account,Assets,Cash and cash equivalents,Cash & Bank,BS,ENT01,31-Mar-26
JIOSAT,10200000,Short-term Investments,Assets,Cash and cash equivalents,Cash & Bank,BS,ENT01,31-Mar-26
JIOSAT,11401000,Trade Receivables - Domestic,Assets,Trade Receivables,Receivables,BS,ENT01,31-Mar-26
JIOSAT,11402000,Trade Receivables - Export,Assets,Trade Receivables,Receivables,BS,ENT01,31-Mar-26
JIOSAT,11500000,Prepaid Expenses,Assets,Other current assets,Prepayments,BS,ENT01,31-Mar-26
JIOSAT,11600000,Security Deposits,Assets,Other non-current assets,Deposits,BS,ENT01,31-Mar-26
JIOSAT,12100000,Inventories - Raw Materials,Assets,Inventories,Inventory,BS,ENT01,31-Mar-26
JIOSAT,12200000,Inventories - Finished Goods,Assets,Inventories,Inventory,BS,ENT01,31-Mar-26
JIOSAT,51001000,Property Plant and Machinery,Assets,"Property, plant and equipment",PPE - Gross,BS,ENT01,31-Mar-26
JIOSAT,51002000,Accumulated Depreciation,Assets,"Property, plant and equipment",PPE - AccDep,BS,ENT01,31-Mar-26
JIOSAT,20100000,Short-Term Borrowings,Liabilities,Borrowings,Borrowings,BS,ENT01,31-Mar-26
JIOSAT,20200000,Long-Term Loans,Liabilities,Borrowings,Long-term Loans,BS,ENT01,31-Mar-26
JIOSAT,21100000,Trade Payables - Domestic,Liabilities,Trade Payables,Payables,BS,ENT01,31-Mar-26
JIOSAT,21200000,Accrued Liabilities,Liabilities,Other current liabilities,Accruals,BS,ENT01,31-Mar-26
JIOSAT,21302630,Output GST Clearing,Liabilities,Other Payables,Tax Payables,BS,ENT01,31-Mar-26
JIOSAT,1000001,Equity Share Capital Rs 10,Equity,Share Capital,Share Capital,BS,ENT01,31-Mar-26
JIOSAT,1160001,Retained Earnings,Equity,Retained Earnings,Reserves,BS,ENT01,31-Mar-26
JIOSAT,41001400,Sales Revenue - Domestic,Revenue,NET SALES REVENUE,Revenue,IS,ENT01,31-Mar-26
JIOSAT,41001500,Sales Revenue - Export,Revenue,NET SALES REVENUE,Revenue,IS,ENT01,31-Mar-26
JIOSAT,41301200,Interest Income,Revenue,Finance income,Other Income,IS,ENT01,31-Mar-26
JIOSAT,41301600,Miscellaneous Income,Revenue,"Other operating income (expenses), net",Other Income,IS,ENT01,31-Mar-26
JIOSAT,50001000,Cost of Goods Sold,Expenses,COST OF SALES AND SERVICES,COGS,IS,ENT01,31-Mar-26
JIOSAT,52001000,Employee Compensation,Expenses,General and administrative expenses,Staff Costs,IS,ENT01,31-Mar-26
JIOSAT,52002500,Consultancy and Audit Fees,Expenses,General and administrative expenses,Admin,IS,ENT01,31-Mar-26
JIOSAT,52003000,Depreciation Expense,Expenses,Depreciation and amortisation,Depreciation,IS,ENT01,31-Mar-26
JIOSAT,52004000,Finance Costs - Interest,Expenses,Finance costs,Finance Costs,IS,ENT01,31-Mar-26
