fiscal_period,line_count,debit_total,credit_total,net_total,date_min,date_max
1,2,5250000.0,5250000.0,0.0,04-May-25,04-May-25
10,4,19500000.0,19500000.0,0.0,15-Jan-26,20-Jan-26
11,2,2500000.0,2500000.0,0.0,28-Feb-26,28-Feb-26
12,8,4400000.0,4400000.0,0.0,04-May-26,31-Mar-26
2,2,3800000.0,3800000.0,0.0,05-Dec-25,05-Dec-25
3,2,8500000.0,8500000.0,0.0,18-Jun-25,18-Jun-25
4,4,16000000.0,16000000.0,0.0,07-Jan-25,31-Jul-25
5,2,22000000.0,22000000.0,0.0,20-Aug-25,20-Aug-25
6,2,5000000.0,5000000.0,0.0,30-Sep-25,30-Sep-25
7,4,20800000.0,20800000.0,0.0,15-Oct-25,31-Oct-25
8,2,42000000.0,42000000.0,0.0,11-Oct-25,11-Oct-25
9,2,9500000.0,9500000.0,0.0,12-Oct-25,12-Oct-25
