transaction_type,line_count,debit_total,credit_total,net_total,date_min,date_max
AA,2,22000000.0,22000000.0,0.0,20-Aug-25,20-Aug-25
AB,2,500000.0,500000.0,0.0,31-Mar-26,31-Mar-26
AF,2,5000000.0,5000000.0,0.0,30-Sep-25,30-Sep-25
KR,2,2500000.0,2500000.0,0.0,28-Feb-26,28-Feb-26
PC,2,4000000.0,4000000.0,0.0,31-Jul-25,31-Jul-25
RE,2,12000000.0,12000000.0,0.0,07-Jan-25,07-Jan-25
RV,8,27050000.0,27050000.0,0.0,04-May-25,18-Jun-25
SA,6,2200000.0,2200000.0,0.0,04-May-26,15-Mar-26
WA,4,60500000.0,60500000.0,0.0,11-Oct-25,20-Jan-26
ZP,6,23500000.0,23500000.0,0.0,15-Oct-25,31-Oct-25
