userid_entered,line_count,debit_total,credit_total,net_total,date_min,date_max
ASHARMA,4,14500000.0,14500000.0,0.0,07-Jan-25,28-Feb-26
BATCH,8,66300000.0,66300000.0,0.0,11-Oct-25,31-Oct-25
JKUMAR,2,5250000.0,5250000.0,0.0,04-May-25,04-May-25
MGMT,2,500000.0,500000.0,0.0,31-Mar-26,31-Mar-26
OCPL01,2,600000.0,600000.0,0.0,15-Mar-26,15-Mar-26
PSINGH,4,13300000.0,13300000.0,0.0,05-Dec-25,12-Oct-25
RDESAI,2,600000.0,600000.0,0.0,04-May-26,04-May-26
RVERMA,2,8500000.0,8500000.0,0.0,18-Jun-25,18-Jun-25
SBPATIL,2,1000000.0,1000000.0,0.0,15-Jan-26,15-Jan-26
SYSTEM,4,6700000.0,6700000.0,0.0,31-Jul-25,31-Mar-26
TRAO,4,42000000.0,42000000.0,0.0,15-Oct-25,20-Aug-25
