entity_id,account_number,account_description,ending_balance,ending_balance_gc,beginning_balance,beginning_balance_gc,je_activity,debit_amount,credit_amount,number_of_lines,number_of_entries,financial_statement_category,financial_statement_line,account_grouping_1,trial_activity,variance,abs_variance,reconciliation,reconciliation_currency
ENT01,1000001,Equity Share Capital Rs 10,-117200000.0,-1410348.98,-117200000.0,-1410348.98,0.0,0.0,0.0,0,0,Equity,Share Capital,Share Capital,0.0,0.0,0.0,Reconciled,Entity Currency
ENT01,10100000,Cash and Bank - Current Account,38750000.0,466305.66,45200000.0,543922.98,-22500000.0,2500000.0,25000000.0,4,4,Assets,Cash and cash equivalents,Cash & Bank,-6450000.0,16050000.0,16050000.0,Unreconciled,Entity Currency
ENT01,10200000,Short-term Investments,10000000.0,120336.94,10000000.0,120336.94,800000.0,800000.0,0.0,1,1,Assets,Cash and cash equivalents,Cash & Bank,0.0,-800000.0,800000.0,Unreconciled,Entity Currency
ENT01,11401000,Trade Receivables - Domestic,162000000.0,1949458.48,148500000.0,1787003.61,18550000.0,18550000.0,0.0,3,3,Assets,Trade Receivables,Receivables,13500000.0,-5050000.0,5050000.0,Unreconciled,Entity Currency
ENT01,11402000,Trade Receivables - Export,28500000.0,342960.29,32000000.0,385078.22,8500000.0,8500000.0,0.0,1,1,Assets,Trade Receivables,Receivables,-3500000.0,-12000000.0,12000000.0,Unreconciled,Entity Currency
ENT01,11500000,Prepaid Expenses,4200000.0,50541.52,3800000.0,45728.04,-1200000.0,0.0,1200000.0,2,2,Assets,Other current assets,Prepayments,400000.0,1600000.0,1600000.0,Unreconciled,Entity Currency
ENT01,11600000,Security Deposits,5000000.0,60168.47,5000000.0,60168.47,0.0,0.0,0.0,0,0,Assets,Other non-current assets,Deposits,0.0,0.0,0.0,Reconciled,Entity Currency
ENT01,1160001,Retained Earnings,-110000000.0,-1323706.38,-85000000.0,-1022864.02,0.0,0.0,0.0,0,0,Equity,Retained Earnings,Reserves,-25000000.0,-25000000.0,25000000.0,Unreconciled,Entity Currency
ENT01,12100000,Inventories - Raw Materials,58000000.0,697954.27,62000000.0,746089.05,-42000000.0,0.0,42000000.0,1,1,Assets,Inventories,Inventory,-4000000.0,38000000.0,38000000.0,Unreconciled,Entity Currency
ENT01,12200000,Inventories - Finished Goods,31500000.0,379061.37,28000000.0,336943.44,18500000.0,18500000.0,0.0,1,1,Assets,Inventories,Inventory,3500000.0,-15000000.0,15000000.0,Unreconciled,Entity Currency
ENT01,20100000,Short-Term Borrowings,-75000000.0,-902527.08,-80000000.0,-962695.55,-2700000.0,0.0,2700000.0,1,1,Liabilities,Borrowings,Borrowings,5000000.0,7700000.0,7700000.0,Unreconciled,Entity Currency
ENT01,20200000,Long-Term Loans,-230000000.0,-2767749.7,-250000000.0,-3008423.59,20000000.0,20000000.0,0.0,1,1,Liabilities,Borrowings,Long-term Loans,20000000.0,0.0,0.0,Reconciled,Entity Currency
ENT01,21100000,Trade Payables - Domestic,-48000000.0,-577617.33,-42000000.0,-505415.16,-34000000.0,0.0,34000000.0,2,2,Liabilities,Trade Payables,Payables,-6000000.0,28000000.0,28000000.0,Unreconciled,Entity Currency
ENT01,21200000,Accrued Liabilities,-21000000.0,-252707.58,-18000000.0,-216606.5,-500000.0,0.0,500000.0,1,1,Liabilities,Other current liabilities,Accruals,-3000000.0,-2500000.0,2500000.0,Unreconciled,Entity Currency
ENT01,21302630,Output GST Clearing,-2500000.0,-30084.24,0.0,0.0,-2500000.0,0.0,2500000.0,1,1,Liabilities,Other Payables,Tax Payables,-2500000.0,0.0,0.0,Reconciled,Entity Currency
