entity_id,entity_name,account_number,account_description,entity_currency_ec,group_currency_gc,beginning_balance_ec,ending_balance_ec,beginning_balance_gc,ending_balance_gc,period_type,chart_of_accounts,period_end_date,fiscal_year,fiscal_period,Fiscal_Year_Identifier
ENT01,JIOSAT Manufacturing Pvt. Ltd.,10100000,Cash and Bank - Current Account,INR,USD,0.0,45200000.0,0.0,543922.98,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,10200000,Short-term Investments,INR,USD,0.0,10000000.0,0.0,120336.94,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,11401000,Trade Receivables - Domestic,INR,USD,0.0,148500000.0,0.0,1787003.61,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,11402000,Trade Receivables - Export,INR,USD,0.0,32000000.0,0.0,385078.22,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,11500000,Prepaid Expenses,INR,USD,0.0,3800000.0,0.0,45728.04,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,11600000,Security Deposits,INR,USD,0.0,5000000.0,0.0,60168.47,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,12100000,Inventories - Raw Materials,INR,USD,0.0,62000000.0,0.0,746089.05,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,12200000,Inventories - Finished Goods,INR,USD,0.0,28000000.0,0.0,336943.44,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,51001000,Property Plant and Machinery,INR,USD,0.0,540000000.0,0.0,6498194.95,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,51002000,Accumulated Depreciation,INR,USD,0.0,-180000000.0,0.0,-2166064.98,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,20100000,Short-Term Borrowings,INR,USD,0.0,-80000000.0,0.0,-962695.55,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,20200000,Long-Term Loans,INR,USD,0.0,-250000000.0,0.0,-3008423.59,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,21100000,Trade Payables - Domestic,INR,USD,0.0,-42000000.0,0.0,-505415.16,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,21200000,Accrued Liabilities,INR,USD,0.0,-18000000.0,0.0,-216606.5,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,21302630,Output GST Clearing,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,1000001,Equity Share Capital Rs 10,INR,USD,0.0,-117200000.0,0.0,-1410348.98,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,1160001,Retained Earnings,INR,USD,0.0,-85000000.0,0.0,-1022864.02,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,41001400,Sales Revenue - Domestic,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,41001500,Sales Revenue - Export,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,41301200,Interest Income,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,41301600,Miscellaneous Income,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,50001000,Cost of Goods Sold,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,52001000,Employee Compensation,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,52002500,Consultancy and Audit Fees,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,52003000,Depreciation Expense,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,52004000,Finance Costs - Interest,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
