entity_id,entity_name,account_number,account_description,entity_currency_ec,group_currency_gc,beginning_balance_ec,ending_balance_ec,beginning_balance_gc,ending_balance_gc,period_type,chart_of_accounts,period_end_date,fiscal_year,fiscal_period,Fiscal_Year_Identifier
ENT01,JIOSAT Manufacturing Pvt. Ltd.,10100000,Cash and Bank - Current Account,INR,USD,0.0,45200000.0,0.0,543922.98,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,10200000,Short-term Investments,INR,USD,0.0,10000000.0,0.0,120336.94,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,11401000,Trade Receivables - Domestic,INR,USD,0.0,148500000.0,0.0,1787003.61,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,11402000,Trade Receivables - Export,INR,USD,0.0,32000000.0,0.0,385078.22,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,11500000,Prepaid Expenses,INR,USD,0.0,3800000.0,0.0,45728.04,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,11600000,Security Deposits,INR,USD,0.0,5000000.0,0.0,60168.47,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,12100000,Inventories - Raw Materials,INR,USD,0.0,62000000.0,0.0,746089.05,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,12200000,Inventories - Finished Goods,INR,USD,0.0,28000000.0,0.0,336943.44,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,51001000,Property Plant and Machinery,INR,USD,0.0,540000000.0,0.0,6498194.95,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,51002000,Accumulated Depreciation,INR,USD,0.0,-180000000.0,0.0,-2166064.98,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,20100000,Short-Term Borrowings,INR,USD,0.0,-80000000.0,0.0,-962695.55,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,20200000,Long-Term Loans,INR,USD,0.0,-250000000.0,0.0,-3008423.59,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,21100000,Trade Payables - Domestic,INR,USD,0.0,-42000000.0,0.0,-505415.16,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,21200000,Accrued Liabilities,INR,USD,0.0,-18000000.0,0.0,-216606.5,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,21302630,Output GST Clearing,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,1000001,Equity Share Capital Rs 10,INR,USD,0.0,-117200000.0,0.0,-1410348.98,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,1160001,Retained Earnings,INR,USD,0.0,-85000000.0,0.0,-1022864.02,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,41001400,Sales Revenue - Domestic,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,41001500,Sales Revenue - Export,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,41301200,Interest Income,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,41301600,Miscellaneous Income,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,50001000,Cost of Goods Sold,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,52001000,Employee Compensation,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,52002500,Consultancy and Audit Fees,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,52003000,Depreciation Expense,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,52004000,Finance Costs - Interest,INR,USD,0.0,0.0,0.0,0.0,YTD,JIOSAT,2025-03-31,2025,12,Current Period Beginning
ENT01,JIOSAT Manufacturing Pvt. Ltd.,10100000,Cash and Bank - Current Account,INR,USD,45200000.0,38750000.0,543922.98,466305.66,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,10200000,Short-term Investments,INR,USD,10000000.0,10000000.0,120336.94,120336.94,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,11401000,Trade Receivables - Domestic,INR,USD,148500000.0,162000000.0,1787003.61,1949458.48,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,11402000,Trade Receivables - Export,INR,USD,32000000.0,28500000.0,385078.22,342960.29,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,11500000,Prepaid Expenses,INR,USD,3800000.0,4200000.0,45728.04,50541.52,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,11600000,Security Deposits,INR,USD,5000000.0,5000000.0,60168.47,60168.47,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,12100000,Inventories - Raw Materials,INR,USD,62000000.0,58000000.0,746089.05,697954.27,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,12200000,Inventories - Finished Goods,INR,USD,28000000.0,31500000.0,336943.44,379061.37,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,51001000,Property Plant and Machinery,INR,USD,540000000.0,558000000.0,6498194.95,6714801.44,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,51002000,Accumulated Depreciation,INR,USD,-180000000.0,-201000000.0,-2166064.98,-2418772.56,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,20100000,Short-Term Borrowings,INR,USD,-80000000.0,-75000000.0,-962695.55,-902527.08,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,20200000,Long-Term Loans,INR,USD,-250000000.0,-230000000.0,-3008423.59,-2767749.7,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,21100000,Trade Payables - Domestic,INR,USD,-42000000.0,-48000000.0,-505415.16,-577617.33,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,21200000,Accrued Liabilities,INR,USD,-18000000.0,-21000000.0,-216606.5,-252707.58,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,21302630,Output GST Clearing,INR,USD,0.0,-2500000.0,0.0,-30084.24,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,1000001,Equity Share Capital Rs 10,INR,USD,-117200000.0,-117200000.0,-1410348.98,-1410348.98,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,1160001,Retained Earnings,INR,USD,-85000000.0,-110000000.0,-1022864.02,-1323706.38,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,41001400,Sales Revenue - Domestic,INR,USD,0.0,-445000000.0,0.0,-5354993.98,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,41001500,Sales Revenue - Export,INR,USD,0.0,-50500000.0,0.0,-607701.56,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,41301200,Interest Income,INR,USD,0.0,-4600000.0,0.0,-55354.99,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
ENT01,JIOSAT Manufacturing Pvt. Ltd.,41301600,Miscellaneous Income,INR,USD,0.0,-1800000.0,0.0,-21660.65,YTD,JIOSAT,2026-03-31,2026,12,Current Period Ending
