entity_id,entity_name,journal_number,journal_line_number,account_number,date_effective,date_posted,time_posted,fiscal_year,fiscal_period,transaction_type,transaction_type_description,net_amount_ec,debit_amount_ec,credit_amount_ec,net_amount_gc,debit_amount_gc,credit_amount_gc,net_amount_oc,debit_amount_oc,credit_amount_oc,entity_currency_ec,group_currency_gc,original_currency_oc,dc_indicator,is_standard,is_manual,chart_of_accounts,journal_header_description,journal_line_description,userid_entered,user_name_entered,userid_approved,user_name_approved,source,business_area,cost_center,profit_center
ENT01,JIOSAT Manufacturing Pvt. Ltd.,RV2026000001,RV2026000001-01,11401000,04/05/2025,04/05/2025,09:14:00,2026,1,RV,Customer Invoice,5250000.0,5250000.0,0.0,63176.9,63176.9,0.0,5250000.0,5250000.0,0.0,INR,USD,INR,D,S,A,JIOSAT,Sales Invoice Q1 FY26,AR debit - domestic sale,JKUMAR,J. Kumar,FINANCE_MGR,Finance Manager,RV,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,RV2026000001,RV2026000001-02,41001400,04/05/2025,04/05/2025,09:14:00,2026,1,RV,Customer Invoice,-5250000.0,0.0,5250000.0,-63176.9,0.0,63176.9,-5250000.0,0.0,5250000.0,INR,USD,INR,C,S,A,JIOSAT,Sales Invoice Q1 FY26,Revenue recognition,JKUMAR,J. Kumar,FINANCE_MGR,Finance Manager,RV,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,RV2026000002,RV2026000002-01,11401000,05/12/2025,05/12/2025,10:30:00,2026,2,RV,Customer Invoice,3800000.0,3800000.0,0.0,45728.04,45728.04,0.0,3800000.0,3800000.0,0.0,INR,USD,INR,D,S,A,JIOSAT,Sales Invoice Q1 FY26,AR debit - standard billing,PSINGH,P. Singh,FINANCE_MGR,Finance Manager,RV,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,RV2026000002,RV2026000002-02,41001400,05/12/2025,05/12/2025,10:30:00,2026,2,RV,Customer Invoice,-3800000.0,0.0,3800000.0,-45728.04,0.0,45728.04,-3800000.0,0.0,3800000.0,INR,USD,INR,C,S,A,JIOSAT,Sales Invoice Q1 FY26,Revenue credit,PSINGH,P. Singh,FINANCE_MGR,Finance Manager,RV,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,RV2026000010,RV2026000010-01,11402000,06/18/2025,06/18/2025,14:05:00,2026,3,RV,Customer Invoice,8500000.0,8500000.0,0.0,102286.4,102286.4,0.0,8500000.0,8500000.0,0.0,INR,USD,INR,D,S,A,JIOSAT,Export Sales Invoice,AR debit - Middle East export,RVERMA,R. Verma,FINANCE_MGR,Finance Manager,RV,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,RV2026000010,RV2026000010-02,41001500,06/18/2025,06/18/2025,14:05:00,2026,3,RV,Customer Invoice,-8500000.0,0.0,8500000.0,-102286.4,0.0,102286.4,-8500000.0,0.0,8500000.0,INR,USD,INR,C,S,A,JIOSAT,Export Sales Invoice,Export revenue credit,RVERMA,R. Verma,FINANCE_MGR,Finance Manager,RV,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,RE2026000020,RE2026000020-01,50001000,07/01/2025,07/01/2025,08:00:00,2026,4,RE,Vendor Invoice,12000000.0,12000000.0,0.0,144404.33,144404.33,0.0,12000000.0,12000000.0,0.0,INR,USD,INR,D,S,A,JIOSAT,Purchase Invoice COGS,COGS debit - raw material,ASHARMA,A. Sharma,FINANCE_MGR,Finance Manager,RE,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,RE2026000020,RE2026000020-02,21100000,07/01/2025,07/01/2025,08:00:00,2026,4,RE,Vendor Invoice,-12000000.0,0.0,12000000.0,-144404.33,0.0,144404.33,-12000000.0,0.0,12000000.0,INR,USD,INR,C,S,A,JIOSAT,Purchase Invoice COGS,Trade payable - Hindustan Corp,ASHARMA,A. Sharma,FINANCE_MGR,Finance Manager,RE,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,AA2026000040,AA2026000040-01,51001000,08/20/2025,08/20/2025,11:22:00,2026,5,AA,Asset Posting,22000000.0,22000000.0,0.0,264741.28,264741.28,0.0,22000000.0,22000000.0,0.0,INR,USD,INR,D,S,A,JIOSAT,Asset Addition - Machinery,PPE debit - CNC machine,TRAO,T. Rao,FINANCE_MGR,Finance Manager,AA,MANUFACTURING,CC100,PC100
ENT01,JIOSAT Manufacturing Pvt. Ltd.,AA2026000040,AA2026000040-02,21100000,08/20/2025,08/20/2025,11:22:00,2026,5,AA,Asset Posting,-22000000.0,0.0,22000000.0,-264741.28,0.0,264741.28,-22000000.0,0.0,22000000.0,INR,USD,INR,C,S,A,JIOSAT,Asset Addition - Machinery,Payable - Siemens India,TRAO,T. Rao,FINANCE_MGR,Finance Manager,AA,MANUFACTURING,CC100,PC100
